"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPL9P8",0.527758868445807,6.74252337777373,1.46738891721737,0.153508429873474,0.575278332110894,-4.60746355794673
"ZP3",-0.52905291192636,2.5543645579436,-1.46664789608127,0.153708667219147,0.575448054236327,-4.60832689197309
"KIAA0146",0.320022881554151,4.22612121852441,1.46657299319667,0.153728918984909,0.575448054236327,-4.60841413815235
"C9orf172",-0.325849862861134,1.16816959209988,-1.46655066345437,0.153734956772594,0.575448054236327,-4.60844014691067
"PAN2",-0.320433746475692,4.39281156256682,-1.46649866414849,0.153749017715102,0.575448054236327,-4.60850071227117
"AC140481.1",-0.332325025074195,5.48899538128511,-1.46598862714322,0.15388698962019,0.575640189263351,-4.60909467509836
"BTAF1",0.362275465774849,2.78922991367178,1.46572839273352,0.153957424776717,0.575640189263351,-4.6093976645148
"PMS1",0.387805893063072,1.93796496941818,1.4654684680629,0.154027801892586,0.575640189263351,-4.6097002486645
"DDX60L",0.450308003062088,4.73210566226087,1.46544258407861,0.154034811642969,0.575640189263351,-4.60973037834954
"SNORA73B",-0.918806930047861,1.06064192872742,-1.46531279496165,0.15406996423387,0.575640189263351,-4.60988144985695
"TMEM205",-0.307514807551847,4.90446887298437,-1.46506317362154,0.15413759072677,0.575640189263351,-4.6101719720043
"CKS2",0.480540765141399,2.0266676296195,1.46504601659819,0.154142239717897,0.575640189263351,-4.61019193871848
"UBE2T",0.406538550972999,1.0607653023435,1.46444826533315,0.154304280896662,0.57567437853161,-4.61088745830881
"PSIP1",0.303062590884184,4.34316330435262,1.46444582341707,0.154304943142429,0.57567437853161,-4.61089029914112
"ZFP106",0.283897413992519,3.40749114130343,1.46440163083478,0.15431692853041,0.57567437853161,-4.61094171042996
"SGSM3",-0.279895061986271,5.70151074811885,-1.46426935537685,0.1543528071693,0.57567437853161,-4.61109558491888
"SRM",-0.355177072764313,4.97505651779318,-1.46383123658523,0.154471691054062,0.57567437853161,-4.61160516081386
"RPL34",0.679516674925303,3.84822807407991,1.4635323363059,0.154552839975468,0.57567437853161,-4.61195273889529
"UQCRB",0.545489611174058,3.18035049552924,1.46346071198418,0.154572290450485,0.57567437853161,-4.61203601892196
"MAML3",-0.30540406935565,2.18669465721746,-1.46341201191623,0.154585516679389,0.57567437853161,-4.61209264220537
"ZMYM2",0.401400038492576,3.30956841074444,1.46324845271556,0.154629943611314,0.57567437853161,-4.61228280005631
"RP11-50C13.1.1",0.435047930426051,1.55774114999508,1.46316514476798,0.154652576147582,0.57567437853161,-4.61237964907851
"IGLV3-19",0.709278537274622,4.71299172812643,1.46303227857478,0.154688677821959,0.57567437853161,-4.61253410217074
"RP11-227H4.4.1",-0.389177635603272,3.58916267807862,-1.46262474405492,0.154799452981548,0.575727146905481,-4.6130077764293
"ZNF296",-0.340487874494095,2.91417830582117,-1.46254803965251,0.154820309711346,0.575727146905481,-4.61309691709293
"CTD-2012J19.1.1",0.335794351293732,0.682587427998013,1.46224452370273,0.154902860949958,0.575727146905481,-4.61344960463315
"CLSTN3",-0.31472579338405,4.54082605835457,-1.46218292607495,0.154919618772369,0.575727146905481,-4.61352117404889
"ZNF254",0.305509184101713,0.845348968842895,1.46208192671135,0.154947099099286,0.575727146905481,-4.61363851835699
"TIMM50",-0.283434727710798,3.92987840251882,-1.46186656786671,0.155005707866637,0.575763401486349,-4.61388870666172
"TRAV25",0.489652230322715,3.06121339369578,1.46164128453352,0.155067036529516,0.575809732998386,-4.61415039169542
"MRPS18C",0.443042351063402,2.50806874874472,1.46120098778195,0.155186954185589,0.57601976154443,-4.61466173550906
"TBCCD1",0.273215219154348,1.66832713197463,1.46107476966578,0.155221344193544,0.57601976154443,-4.61480829675607
"MYPOP",-0.264885515527417,2.95330403338011,-1.46030671091163,0.155430744816445,0.576321300596562,-4.6156999197387
"RP11-47G11.2.1",0.397329780938677,1.36627083007629,1.46029958593907,0.15543268840009,0.576321300596562,-4.61570818913988
"UBA2",0.289356633429181,3.19097417466892,1.46023870342499,0.155449297013106,0.576321300596562,-4.61577884936626
"SLC22A5",0.353502548004955,1.71195800686832,1.45985506808239,0.155553984556032,0.576528069804212,-4.61622403999997
"ADH5",0.269805024119401,3.69781464969346,1.45932260629693,0.155699377809487,0.576709447461672,-4.61684177525942
"DDX6",0.336613004654745,3.96784026751709,1.45931745175543,0.155700785832601,0.576709447461672,-4.61684775438094
"IMPAD1",0.246548823406059,2.03358202064286,1.45874289264946,0.155857797241018,0.577095010239785,-4.6175141163573
"RP11-90D4.2.1",0.441031132230343,4.18242376119107,1.45857826269462,0.155902809486126,0.577095010239785,-4.61770501055189
"AC007620.3.1",0.333111245190003,2.753109199116,1.45824847281653,0.155993010168953,0.577247603720968,-4.61808735947763
"NPFF",-0.289214133265749,2.96878391902397,-1.45739601280567,0.156226359606807,0.577929652958513,-4.61907534346254
"CPOX",0.30802806712785,2.31452152898705,1.45684893484064,0.156376261884106,0.578302674165697,-4.61970914223384
"FMO5",0.290556205339114,1.17138063665562,1.45626395345669,0.156536677162715,0.578548850080167,-4.62038663336131
"CCDC22",-0.30689303415066,4.18992385735523,-1.45624817853738,0.156541004828241,0.578548850080167,-4.62040489980778
"GHRLOS2",-0.272223048025455,1.57723232205553,-1.45581289522948,0.156660457490962,0.578808825074758,-4.62090886770863
"ATP2C2",0.399421833498199,1.25815785944648,1.45536791058407,0.156782647781711,0.579032069025031,-4.62142393794079
"TMEM141",0.271664579473019,4.44471516685739,1.45508055704754,0.156861593940181,0.579032069025031,-4.62175648023744
"RASGRP1",0.311333787803294,2.96800029223433,1.45505627282239,0.156868267130233,0.579032069025031,-4.62178458085269
"C21orf58",-0.320287937992015,1.87627576597676,-1.45449000229571,0.157023939956116,0.579324128889671,-4.6224397328265
"FAM89A",0.284198604894161,1.45514818972955,1.45441089316869,0.157045697590573,0.579324128889671,-4.62253124194313
"RHOQ",0.275817670911894,4.4764304579518,1.45384864779791,0.157200403163066,0.57932632365138,-4.62318149710581
"MGEA5",0.368723964840917,6.13132025136337,1.45374649290484,0.157228524837873,0.57932632365138,-4.62329962007398
"FGFRL1",-0.344830016387327,2.1755047225824,-1.45374417517504,0.157229162919974,0.57932632365138,-4.62330230001334
"FPGS",-0.342959605922737,4.62782334678373,-1.45369425155881,0.15724290763285,0.57932632365138,-4.62336002471447
"LSG1",0.294739122088123,3.59015877359798,1.45347127345068,0.157304308541316,0.579371431396235,-4.62361782529206
"RP11-219E7.1.1",0.536746079064301,0.741290311499979,1.45309479529664,0.157408021852887,0.579386824859547,-4.6240530231473
"HAUS3",0.273845445142107,1.66450881627782,1.45306844632623,0.157415282590651,0.579386824859547,-4.62408347827405
"EXT1",0.305034126865788,2.9938195761408,1.45281390076326,0.157485439098742,0.579386824859547,-4.62437766784891
