"Gene","logFC","adj.P.Val"
"HAT1",0.676208455042984,0.346377270056899
"MED21",0.615160733718299,0.346377270056899
"TNPO1",0.658157568163859,0.346377270056899
"SLC35A5",0.639139929559527,0.346377270056899
"BIRC2",0.746441421578634,0.346377270056899
"IFIT5",1.05915454261129,0.346377270056899
"ARL8B",0.523656718156058,0.346377270056899
"CD164",0.666704314480478,0.346377270056899
"SRC",-0.576104494636802,0.346377270056899
"STAG2",0.787198792489083,0.346377270056899
"BBS10",0.598442366106699,0.346377270056899
"GMFB",0.776989702695215,0.346377270056899
"MBNL1",0.851443431106383,0.346377270056899
"SPOPL",0.873211324721696,0.346377270056899
"BAZ1A",0.763171010941699,0.346377270056899
"FAM20A",0.909784335923716,0.346377270056899
"CTSS",0.56147880725168,0.346377270056899
"POC1B",0.631382594261918,0.346377270056899
"UBE2J1",0.668063622263356,0.346377270056899
"DHRS9",0.961098492257123,0.346377270056899
"POLR2M",0.686449914592724,0.346377270056899
"FEM1C",0.616783473062391,0.346377270056899
"MAP4",-0.590443707823483,0.346377270056899
"YTHDF3",0.620836463285225,0.346377270056899
"CDC40",0.553106851938969,0.346377270056899
"ERC1",0.525156328675298,0.346377270056899
"TAF7",0.643279960558994,0.346377270056899
"RCHY1",0.584466659643544,0.346377270056899
"SLC8A1",0.692954778939654,0.346377270056899
"AGTPBP1",0.71400699505708,0.346377270056899
"DNAJB14",0.714286881351849,0.346377270056899
"UBA3",0.586950686831595,0.346377270056899
"LMBRD1",0.524171914040403,0.346377270056899
"SLC35A1",0.666313411712321,0.346377270056899
"SLK",0.673432138637244,0.346377270056899
"SLC30A5",0.607756745166445,0.346377270056899
"CD274",0.898301761260276,0.346377270056899
"NRG1",0.880298283433952,0.346377270056899
"POLK",0.706712362903867,0.346377270056899
"PLA2G4A",0.659536720310283,0.346377270056899
"CPNE9",-0.652321176908941,0.346377270056899
"ZNF654",0.564753572761562,0.346377270056899
"ST3GAL6",0.784021362209867,0.346377270056899
"ASNSD1",0.770207888610081,0.346377270056899
"ABHD13",0.649119205407784,0.346377270056899
"PLD4",-0.996682970722995,0.346377270056899
"FAM133B",0.677181243469342,0.346377270056899
"OSGIN2",0.862504506305883,0.346377270056899
"SLC44A1",0.500120324961847,0.346377270056899
"RNF139",0.556918969659963,0.348178028496841
"ADAM17",0.691671175913483,0.348178028496841
"LRRC26",-0.620609415575737,0.348178028496841
"NRN1L",-0.759769405564019,0.348178028496841
"TMEM123",0.830493575052097,0.348178028496841
"DPH3",0.546057969107264,0.348178028496841
"TDP2",0.639171360392657,0.348178028496841
"ARHGAP33",-0.558022307961755,0.348178028496841
"CASP3",0.75720091919281,0.349498530390933
"DPM1",0.613865951190108,0.349648568890495
"RHOT1",0.655077059764874,0.349648568890495
"PPIL4",0.604194990567156,0.349648568890495
"GABPA",0.678061282803913,0.349648568890495
"PLSCR1",0.86076621912739,0.349648568890495
"MIB1",0.608722512101722,0.349648568890495
"TRAM1",0.550445161173102,0.349648568890495
"LRRC40",0.53725344552424,0.349648568890495
"AIDA",0.622397745844618,0.349648568890495
"MRC2",-0.739151925777169,0.349648568890495
"VNN2",0.793960044932341,0.349648568890495
"PPP1CB",0.755666392541351,0.349648568890495
"PGRMC1",0.684566404891052,0.349648568890495
"RAB33B",0.760416147598303,0.349648568890495
"YIPF4",0.5841930768457,0.349648568890495
"PLEKHF2",0.732441469517589,0.349648568890495
"PHF20L1",0.814362575217656,0.349648568890495
"RECQL",0.644193535522239,0.349648568890495
"DNAJC3",0.862592405183265,0.349648568890495
"NSL1",0.521914343784804,0.349648568890495
"EFHA1",0.587165996644203,0.349648568890495
"ACAP2",0.752258774068845,0.349648568890495
"IPMK",0.947272950976448,0.349648568890495
"TMX1",0.680706790490046,0.349648568890495
"SART1",-0.529382291203022,0.349648568890495
"TMEM71",0.585969222288022,0.349648568890495
"PCNP",0.648872610205555,0.349648568890495
"MEF2A",0.676229573261211,0.349648568890495
"MTHFD2",0.600606362907148,0.349648568890495
"PGM2",0.571458466076602,0.349648568890495
"N4BP2L2",0.601316488940281,0.349648568890495
"ATP11B",0.723177565364426,0.349648568890495
"TAX1BP1",0.692204587181217,0.349648568890495
"RNF11",0.607391846740067,0.349648568890495
"ITM2A",0.782599046407185,0.349648568890495
"STK17B",0.676469793198755,0.349648568890495
"ARL5A",0.654667392850368,0.349648568890495
"RC3H2",1.74762061542333,0.349648568890495
"ZNF701",0.503914173985482,0.349648568890495
"CYB5R4",0.594874936897148,0.349648568890495
"HIPK3",0.899637559632256,0.349648568890495
"TRIM52",0.599793944804713,0.349648568890495
"SLC25A24",0.68673503520331,0.349648568890495
"PTAR1",0.749395230850646,0.349648568890495
"GPR171",0.836907124097454,0.349648568890495
"COPS2",0.796195385248852,0.350053148010444
"PPIP5K2",0.686762228109647,0.350758807232163
"PTPN22",0.513853806826635,0.350758807232163
"NDUFB3",0.90272521731051,0.350758807232163
"PTPRC",0.654231264010035,0.35125917880389
"WDFY2",0.515516528645761,0.35125917880389
"IQCB1",0.561274892009946,0.35125917880389
"TNFSF13B",0.693935250789394,0.35125917880389
"RAP1B",0.602555514574935,0.35125917880389
"LRRN2",0.505852197778317,0.35125917880389
"STX7",0.661382212196845,0.35125917880389
"SHOC2",0.620382919181936,0.35125917880389
