"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-326C3.10.1",0.872908266810139,0.847812934637551,2.36917035888593,0.0250237798977426,0.390424692218486,-3.32018678866422
"RP11-30L4.5.1",0.877937745878566,1.9257507338808,2.36822958526943,0.0250764883768364,0.390424692218486,-3.32174183350889
"PCNPP5",0.522642148183343,3.08701262808126,2.36665322335221,0.0251650339863389,0.390993679880514,-3.32434663864234
"TC2N",0.584232687287146,2.8543179589851,2.36591746879777,0.0252064595430171,0.390993679880514,-3.32556205459143
"PDZK1IP1",-0.804933835994505,6.31478312715862,-2.36580926587864,0.0252125569921254,0.390993679880514,-3.32574077923402
"EDEM3",0.700322057776054,2.38231863424675,2.36475707434248,0.0252719202911795,0.391024173064129,-3.32747848514293
"HSP90AA1",0.509983062780494,5.1154838277868,2.36413452328976,0.0253071038492209,0.391024173064129,-3.32850641633727
"THAP5",0.688640411122108,2.12634433728441,2.36131276963716,0.0254671366568672,0.391809777176979,-3.33316354130174
"RNASE1",0.912216248418853,1.67742267114301,2.35981396947076,0.025552514421314,0.391809777176979,-3.33563585439721
"NEK7",0.781458474506699,3.15843657289929,2.35863914416666,0.025619619680417,0.391809777176979,-3.33757310075828
"ARRDC3",0.608136967927801,4.49302042102039,2.35854972613035,0.0256247337566469,0.391809777176979,-3.33772052420647
"CD48",0.544469834921979,7.03538182228132,2.35844259909999,0.0256308618872773,0.391809777176979,-3.33789714002431
"FAM60A",0.525355855990748,2.85631017438309,2.35663446336289,0.0257344969387527,0.39243138030382,-3.34087740736353
"FRMD3",0.555794767441837,1.36462048836733,2.3506851925954,0.0260781874932227,0.396420965136957,-3.35067357556866
"MT-ND6",-0.582666117362649,10.6265739613727,-2.34609744003443,0.0263460739124603,0.396420965136957,-3.35821761340109
"TMX4",0.517538204659834,4.24579438732003,2.33974785635255,0.0267209728162973,0.396420965136957,-3.36864402990712
"ERGIC2",0.5560383295568,2.97131230980124,2.33795483998925,0.0268277140095788,0.396420965136957,-3.37158516594096
"CXCL5",0.618667823922679,1.4528770392241,2.33501734325271,0.0270034271238715,0.396420965136957,-3.37640065900241
"AC007283.4.1",1.22457229146802,0.867573525653462,2.33442958079569,0.0270387109943026,0.396420965136957,-3.37736374604418
"DSE",0.538652695329472,2.54821445632759,2.33296149126294,0.0271270249828309,0.396420965136957,-3.37976866048086
"RSL24D1",0.646638764292604,2.49224438072021,2.33155967914839,0.0272115968891161,0.396420965136957,-3.3820641427384
"UBA52P3",-0.550184698814269,2.32063838810411,-2.33113639590658,0.0272371808561867,0.396420965136957,-3.38275710801156
"ZNF281",0.611234344859079,1.84847769197145,2.33046665653462,0.0272777057640219,0.396420965136957,-3.38385339448849
"POLE4",0.54164715640294,5.09881536960913,2.33031135501665,0.0272871106530107,0.396420965136957,-3.38410757776948
"UBXN2B",0.539875665745196,4.22815104048366,2.32902224271412,0.0273652918159165,0.396420965136957,-3.38621707906095
"PLA2G12AP1",0.606315885078005,0.931124294006845,2.32678523428763,0.0275014440148986,0.396420965136957,-3.38987602236339
"MMP23B",-0.611522163943615,2.13150267602899,-2.32608889101689,0.0275439514783415,0.396420965136957,-3.39101455117806
"MRPS28",0.719571330919741,2.77680875390558,2.32343468023191,0.0277065231170828,0.396420965136957,-3.39535230119496
"AP001347.1",-0.582194115461631,5.55932840517068,-2.32334079205042,0.0277122897548897,0.396420965136957,-3.39550568615116
"MTND1P23",-0.501265354715967,6.86091742291779,-2.32207753766962,0.0277899853668694,0.396420965136957,-3.39756909314081
"MMRN1",0.505861776700995,0.856497343652835,2.32146774883366,0.0278275608391313,0.396420965136957,-3.39856487950148
"SOS2",0.57233721538032,3.34112496010788,2.32050606845153,0.0278869138902066,0.396420965136957,-3.40013497943693
"FOXN2",0.700062087586277,2.56256310359153,2.31731960643226,0.0280843993131499,0.396420965136957,-3.40533454370456
"AC090360.1",-0.674166116759814,4.65980829956257,-2.31675818482531,0.0281193255914493,0.396420965136957,-3.40625019826578
"HIST2H2BC",0.599268484069483,1.50288709177344,2.31654176828738,0.0281327994924683,0.396420965136957,-3.40660312794028
"RPL31P63",0.754468360844294,2.88247713555387,2.31653473626645,0.0281332373982183,0.396420965136957,-3.40661459534155
"TLR4",0.671588826291549,4.77511012683314,2.31637407893504,0.0281432437156969,0.396420965136957,-3.40687657992761
"MT-ND1",-0.517674972498247,10.9789185362684,-2.31591993423505,0.0281715469766479,0.396420965136957,-3.40761709517549
"HIST2H2BD",0.596970450099156,1.49424345288243,2.31433916696553,0.0282702655296104,0.396420965136957,-3.41019395222518
